StudentID,FirstName,LastName,Grade,Absences,Demerits,Score
1459,Ivah,Beatty,62,0,3,47
1498,Lilliana,Koss,68,0,4,48
1174,Cale,Reynolds,88,3,0,79
1473,Alanna,Schaefer,69,0,5,44
1398,Anya,Howell,82,0,0,82
1781,Zula,Harris,77,0,1,72
1506,Annabel,White,80,6,0,62
1319,Eveline,Jacobson,93,4,0,81
1349,Felicita,Abbott,87,4,5,50
1197,Brandyn,Ritchie,67,2,1,56
1030,Trace,McGlynn,65,5,0,50
1298,Aurelio,Gusikowski,63,0,0,63
1413,Velma,Stokes,64,0,3,49
1064,Houston,Ward,43,0,4,23
1687,Vicente,Tillman,72,0,2,62
1529,Vivian,Kuphal,70,3,0,61
1290,Erika,Hoeger,95,7,1,69
1453,Callie,Pagac,84,0,0,84
1302,Ova,McClure,85,0,0,85
1079,Reta,Wilkinson,51,0,0,51
1238,Berniece,Padberg,54,0,6,24
1695,Samara,Schaefer,78,0,1,73
1228,William,Flatley,94,5,3,64
1666,Angelica,Friesen,87,6,0,69
1066,Spencer,Jakubowski,46,0,5,21
1381,Joesph,Nienow,73,0,0,73
1902,Julia,Auer,56,0,0,56
1454,Fernando,Hintz,95,0,0,95
1869,Susanna,MacGyver,82,2,0,76
1616,Aaron,Bartell,69,0,3,54
1337,Henry,Hacker,67,2,1,56
