StudentID,FirstName,LastName,Grade,Absences,Demerits,Score
1646,Shayna,Turner,97,0,4,77
1524,Jedidiah,Jacobs,77,7,0,56
1283,Patience,Stanton,100,0,1,95
1074,Meredith,Senger,72,0,0,72
1545,Rafaela,Wiza,65,0,2,55
1008,Harrison,Bernhard,65,0,0,65
1505,Lafayette,Terry,85,0,3,70
1701,Clemmie,Bogan,100,5,1,80
1585,April,Glover,87,0,0,87
1137,Gus,Gulgowski,68,6,0,50
1663,Dannie,Weissnat,63,0,0,63
1544,Micheal,Mueller,91,9,0,64
1965,Malvina,Deckow,66,0,0,66
1096,Orpha,Kutch,91,0,0,91
1302,Prudence,Larkin,89,1,0,86
1480,Dahlia,Schuster,63,3,0,54
1415,John,West,68,0,0,68
1271,Mathias,Bailey,87,0,0,87
1410,Elroy,Fadel,92,0,0,92
1373,Lillian,Funk,50,9,1,18
1210,Velva,Larson,77,0,2,67
1033,Antonia,Cormier,90,9,0,63
1805,Sylvia,Walter,73,9,0,46
1274,Shany,Corkery,88,2,1,77
1390,Geovanni,Toy,97,0,0,97
1710,Merl,Purdy,54,2,0,48
1932,Akeem,Lindgren,88,9,0,61
1207,Callie,Schuster,81,0,0,81
1016,Charles,McClure,73,0,0,73
1521,Candido,Littel,68,2,5,37
1337,Henry,Hacker,61,3,1,47
