StudentID,FirstName,LastName,Grade,Absences,Demerits,Score
1999,Oleta,Bosco,79,0,0,79
1721,Emmalee,Casper,90,6,3,57
1891,Rudy,Kuhn,85,0,0,85
1917,Christy,Armstrong,76,1,0,73
1146,Geovany,Effertz,76,0,0,76
1824,Donnie,Fritsch,95,0,0,95
1381,Rosalind,Ryan,78,0,0,78
1902,Greta,Prosacco,73,5,4,38
1067,Gregoria,Nolan,83,4,0,71
1734,Alene,Dach,79,0,0,79
1379,Clinton,Kuphal,83,3,0,74
1902,Darion,Runte,97,3,1,83
1891,Ruthie,Smith,74,7,6,23
1302,Hilton,Altenwerth,88,6,4,50
1920,Era,Russel,91,4,0,79
1785,Unique,Gulgowski,80,0,0,80
1445,Major,Reinger,88,0,0,88
1362,Paige,Hettinger,46,1,0,43
1468,Kayli,Berge,95,0,3,80
1244,Selmer,Watsica,68,0,0,68
1428,Michale,McGlynn,78,0,4,58
1891,Lourdes,Donnelly,76,7,0,55
1358,Lauriane,Brown,83,0,0,83
1603,Gabriella,Robel,67,0,0,67
1703,Ali,Trantow,88,4,0,76
1991,Price,Zboncak,80,9,1,48
1195,Ettie,Considine,100,3,0,91
1748,Malvina,Runte,76,0,0,76
1884,Max,Runolfsdottir,77,0,1,72
1517,Meredith,Jerde,80,4,1,63
1337,Henry,Hacker,65,3,1,51
